"","effect","log_hr","log_hr_sd"
"1","PE",0.694952548194434,0.133555316863258
"2","AM",0.659229348926524,0.122248805096734
"3","PB",0.605902418588229,0.311368102295636
"4","RJ",0.600645982788885,0.11853441762605
"5","BA",0.394514191047216,0.177604106264891
"6","PI",0.353500788711263,0.27808182926275
"7","PA",0.177520399255205,0.19137153708317
"8","CE",0.0988739787845527,0.130268325459331
"9","RR",0.0857774666880854,0.440450511314409
"10","AL",0.0826076630979909,0.239005433483235
"11","ES",0.079664125733546,0.179085302484311
"12","MA",0.0415117050006278,0.283532837204277
"13","RN",0.0221445390518562,0.19555569579466
"14","MS",-0.0321137875907951,0.312430474782815
"15","TO",-0.0850089250460689,0.411349080791156
"16","SP",-0.247167205477952,0.112440148552899
"17","MG",-0.263134954711857,0.152620965244194
"18","SE",-0.266197248172841,0.312359115523531
"19","DF",-0.295003577992407,0.278865242810069
"20","SC",-0.403005239849687,0.179317288260083
"21","MT",-0.450362544862961,0.290675824480187
"22","GO",-0.538050921876401,0.269510858722639
"23","PR",-0.577807643434607,0.152970230276732
"24","RS",-0.738993106852837,0.159919033971015
